Time,"DIVERGENCE","P","Points:0","Points:1","Points:2","Q","T","U","V","VORTICITY_X","VORTICITY_Y","VORTICITY_Z","W"
76,-0.061251,0.54818,-0.5175,-0.050969,0,-1.1693,0.80848,0.020977,-0.068935,0,0,2.8031,0
76,-0.077112,0.55164,-0.51086,-0.050316,0,-0.27134,0.86924,0.012002,-0.049947,0,0,3.3593,0
76,-0.25591,0.55518,-0.50423,-0.049662,0,0.093551,0.93308,0.0050101,-0.026969,0,0,3.8735,0
76,-0.59763,0.5588,-0.49759,-0.049009,0,-0.074631,1,-1.7789e-18,1.422e-17,0,0,4.3456,0
76,-0.058101,0.55621,-0.51833,-0.033979,0,-1.4573,0.81273,0.016595,-0.047361,0,0,2.0175,0
76,0.032082,0.55989,-0.51151,-0.033535,0,-0.59407,0.87499,0.0083116,-0.033744,0,0,2.2961,0
76,0.013173,0.56452,-0.50468,-0.033091,0,-0.10101,0.93742,0.0027799,-0.017957,0,0,2.5566,0
76,-0.11483,0.57009,-0.49786,-0.032646,0,0.021852,1,-1.1206e-18,5.8213e-18,0,0,2.7991,0
76,-0.052974,0.56127,-0.51916,-0.01699,0,-1.5804,0.81262,0.014379,-0.026266,0,0,1.1662,0
76,0.04306,0.56498,-0.51233,-0.016763,0,-0.76042,0.87492,0.0066952,-0.01842,0,0,1.2603,0
76,0.072139,0.56963,-0.5055,-0.016537,0,-0.22188,0.93738,0.0019023,-0.0096651,0,0,1.3626,0
76,0.034263,0.57522,-0.49866,-0.01631,0,0.035263,1,-6.3368e-19,4.0508e-18,0,0,1.473,0
76,-0.045871,0.56335,-0.52,0,0,-1.5384,0.80815,0.014326,-0.0056474,0,0,0.24916,0
76,-0.044178,0.5669,-0.51333,0,0,-0.77039,0.86901,0.0071529,-0.0039763,0,0,0.25194,0
76,-0.079008,0.57051,-0.50667,0,0,-0.26906,0.93296,0.0023774,-0.0020939,0,0,0.29133,0
76,-0.15036,0.57419,-0.5,0,0,-0.034397,1,-3.1822e-19,8.9088e-18,0,0,0.36733,0
76,-0.072332,0.50539,-0.51001,-0.10145,0,-0.21421,0.80954,0.039382,-0.12866,0,0,5.3086,0
76,-0.10425,0.50861,-0.50347,-0.10015,0,0.69097,0.86997,0.025434,-0.093263,0,0,6.3429,0
76,-0.40184,0.51194,-0.49693,-0.098846,0,0.67978,0.93345,0.012307,-0.050375,0,0,7.3316,0
76,-0.9651,0.5154,-0.49039,-0.097545,0,-0.24778,1,-1.2095e-17,2.3746e-17,0,0,8.2747,0
